grid_id,iso639,label
grid.7841.a,it,Sapienza – Università di Roma
grid.7849.2,fr,Université Claude Bernard Lyon 1
grid.7858.2,sr,Универзитет у Скопљу
grid.7858.2,sq,Universiteti Kiril dhe Metodij
grid.7858.2,mk,Универзитет Св. Кирил и Методиј
grid.7870.8,es,Pontificia Universidad Católica de Chile
grid.7872.a,ga,Coláiste na hOllscoile
grid.7886.1,ga,An Coláiste Ollscoile Baile Átha Cliath
grid.7892.4,de,Karlsruher Institut für Technologie
grid.7898.e,es,Universidad Central del Ecuador
grid.7900.e,ar,جامعة سوسة
grid.7900.e,fr,Université de Sousse
grid.7901.f,fr,Université de Cergy-Pontoise
grid.7902.c,fr,Université Paris Ouest Nanterre La Défense
grid.7914.b,fi,Bergenin Yliopisto
grid.7922.e,th,จุฬาลงกรณ์มหาวิทยาลัย
grid.7942.8,en,Catholic University of Louvain
grid.7945.f,de,Wirtschaftsuniversität Luigi Bocconi
grid.7945.f,it,Università Commerciale Luigi Bocconi
grid.7960.8,sk,Žilinská univerzita v Žiline
grid.8042.e,it,Università degli Studi di Macerata
grid.8042.e,fr,Université de macerata
grid.8048.4,es,Universidad de Castilla-La Mancha
grid.8049.5,es,Universidad Católica del Norte
grid.8051.c,pt,Universidade de Coimbra
grid.8065.b,ta,கொழும்பு பல்கலைக்கழகம்
grid.8065.b,si,කොළඹ විශ්වවිද් යාලය
grid.8073.c,gl,Universidade da Coruña
grid.8073.c,ca,Universitat de la Corunya
grid.8073.c,es,Universidade da Coruña
grid.8127.c,fr,Université de crète
grid.8127.c,el,Πανεπιστήμιο Κρήτης
grid.8142.f,sl,Katoliška univerza Srca Jezusovega
grid.8142.f,de,Katholische Universität vom Heiligen Herzen
grid.8142.f,ca,Universitat Catòlica del Sagrat Cor
grid.8142.f,it,Università Cattolica del Sacro Cuore
grid.8148.5,sv,Linnéuniversitetet
grid.8148.5,fi,Linné-yliopisto
grid.8155.9,cy,Prifysgol Cymru
grid.8158.4,fr,Université de catane
grid.8158.4,de,Universität Catania
grid.8158.4,it,Università degli Studi di Catania
grid.8168.7,ro,Universitatea Alexandru Ioan Cuza
grid.8170.e,es,Pontificia Universidad Católica de Valparaíso
grid.8171.f,es,Universidad Central de Venezuela
grid.8183.2,en,French Agricultural Research Centre for International Development
grid.8186.7,cy,Prifysgol Aberystwyth
grid.8191.1,fr,Université Cheikh Anta Diop
grid.8192.2,hy,Դամասկոսի համալսարան
grid.8192.2,fr,Université de damas
grid.8192.2,ar,جامعة دمشق
grid.8193.3,sw,Chuo Kikuu cha Dar es Salaam
grid.8193.3,ar,جامعة دار السلام
