grid_id,relationship_type,related_grid_id
grid.1236.6,Child,grid.456984.2
grid.1236.6,Child,grid.431411.2
grid.1310.3,Parent,grid.453171.5
grid.1374.1,Related,grid.410552.7
grid.1374.1,Child,grid.470079.d
grid.1374.1,Child,grid.470895.7
grid.1441.0,Child,grid.423910.d
grid.1441.0,Child,grid.410483.a
grid.1441.0,Child,grid.450350.7
grid.1441.0,Child,grid.472768.8
grid.1441.0,Child,grid.6290.d
grid.1441.0,Child,grid.423919.4
grid.1441.0,Child,grid.425341.5
grid.1441.0,Child,grid.458634.8
grid.1441.0,Child,grid.423914.9
grid.1441.0,Child,grid.425346.2
grid.1441.0,Child,grid.421036.2
grid.1453.3,Child,grid.108752.9
grid.1463.0,Parent,grid.461959.6
grid.1463.0,Parent,grid.451254.3
grid.1489.4,Related,grid.1012.2
grid.1491.d,Child,grid.416528.c
grid.1491.d,Child,grid.416530.5
grid.1491.d,Child,grid.460774.6
grid.1491.d,Child,grid.416563.3
grid.1491.d,Child,grid.416562.2
grid.1527.1,Parent,grid.495796.0
grid.1527.1,Child,grid.473897.6
grid.1623.6,Related,grid.267362.4
grid.1623.6,Related,grid.1002.3
grid.1649.a,Related,grid.8761.8
grid.1649.a,Child,grid.415579.b
grid.1649.a,Other,grid.486791.5
grid.1680.f,Parent,grid.461952.d
grid.1680.f,Parent,grid.484530.e
grid.1680.f,Child,grid.474179.8
grid.1694.a,Related,grid.1014.4
grid.1694.a,Related,grid.1010.0
grid.1694.a,Related,grid.1026.5
grid.1957.a,Related,grid.461740.0
grid.1957.a,Related,grid.473749.a
grid.1957.a,Related,grid.412301.5
grid.1957.a,Child,grid.469360.e
grid.1957.a,Child,grid.494742.8
grid.2294.d,Related,grid.422958.0
grid.2515.3,Related,grid.66859.34
grid.2515.3,Related,grid.65499.37
grid.2515.3,Related,grid.38142.3c
grid.2515.3,Related,grid.471375.3
grid.2865.9,Parent,grid.239134.e
grid.2865.9,Child,grid.415843.f
grid.3006.5,Child,grid.460685.9
grid.3006.5,Child,grid.422050.1
grid.3319.8,Child,grid.292663.a
grid.3319.8,Child,grid.481581.1
grid.3319.8,Child,grid.484956.2
grid.3319.8,Child,grid.481847.6
grid.3319.8,Child,grid.433728.9
grid.3319.8,Child,grid.458843.6
grid.3319.8,Child,grid.432408.9
grid.3319.8,Child,grid.472746.4
grid.3319.8,Child,grid.418235.9
grid.3521.5,Related,grid.266886.4
grid.3521.5,Related,grid.1012.2
grid.3532.7,Parent,grid.239119.1
grid.3532.7,Child,grid.436457.7
grid.3532.7,Child,grid.474331.6
grid.3532.7,Child,grid.454027.0
grid.3532.7,Child,grid.436459.9
grid.3532.7,Child,grid.454017.3
grid.3532.7,Child,grid.454123.5
grid.3532.7,Child,grid.423024.3
grid.3532.7,Child,grid.448309.2
grid.3532.7,Child,grid.467798.3
grid.3532.7,Child,grid.482795.5
grid.3532.7,Child,grid.454025.2
grid.3532.7,Child,grid.474355.4
grid.3532.7,Child,grid.417757.7
grid.3532.7,Child,grid.453887.5
grid.3532.7,Child,grid.467857.f
grid.3532.7,Child,grid.467460.7
grid.3532.7,Child,grid.467473.5
grid.3532.7,Child,grid.467493.b
grid.3532.7,Child,grid.467971.a
grid.3532.7,Child,grid.467915.8
grid.3532.7,Child,grid.454034.2
grid.3532.7,Child,grid.448384.7
grid.3532.7,Child,grid.423033.5
grid.3532.7,Child,grid.454206.1
grid.3532.7,Child,grid.474351.0
grid.3532.7,Child,grid.422703.0
grid.3532.7,Child,grid.410486.f
grid.3532.7,Child,grid.474357.6
grid.3532.7,Child,grid.422702.1
grid.3532.7,Child,grid.473835.e
grid.3532.7,Child,grid.423022.5
grid.3532.7,Child,grid.487736.9
grid.3532.7,Child,grid.470091.b
grid.3532.7,Child,grid.238398.b
grid.3532.7,Child,grid.448469.3
grid.3532.7,Child,grid.454120.6
grid.3532.7,Child,grid.454122.4
grid.3532.7,Child,grid.474350.1
grid.3532.7,Child,grid.468458.3
grid.3532.7,Child,grid.467652.4
grid.3532.7,Child,grid.453930.8
grid.3532.7,Child,grid.474356.7
grid.3532.7,Child,grid.474353.2
grid.3532.7,Child,grid.423025.2
grid.3532.7,Child,grid.454039.f
grid.3532.7,Child,grid.474354.5
grid.3532.7,Child,grid.454049.8
grid.3532.7,Child,grid.466960.b
grid.3532.7,Child,grid.422706.5
grid.3532.7,Child,grid.467863.8
grid.3532.7,Child,grid.467539.a
grid.3532.7,Child,grid.467565.3
grid.3532.7,Child,grid.437970.e
grid.3532.7,Child,grid.473841.d
grid.3532.7,Child,grid.473842.e
grid.3532.7,Child,grid.454042.3
grid.3532.7,Child,grid.454119.c
grid.3532.7,Child,grid.454104.0
grid.3532.7,Child,grid.468385.4
grid.3532.7,Child,grid.454031.7
grid.3532.7,Child,grid.454021.6
grid.3532.7,Child,grid.454126.0
grid.3575.4,Child,grid.458360.c
grid.3575.4,Child,grid.475637.4
grid.3575.4,Child,grid.483405.e
grid.3575.4,Child,grid.483403.8
grid.3575.4,Child,grid.463718.f
grid.3575.4,Child,grid.420226.0
grid.3575.4,Child,grid.4437.4
grid.3575.4,Child,grid.483407.c
grid.3973.e,Parent,grid.471236.5
grid.4241.3,Related,grid.435146.1
grid.4280.e,Related,grid.412106.0
grid.4280.e,Related,grid.429485.6
grid.4280.e,Related,grid.452673.1
grid.4280.e,Child,grid.494640.b
grid.4293.c,Child,grid.426239.8
grid.4293.c,Child,grid.466952.a
grid.4293.c,Child,grid.463298.2
grid.4293.c,Child,grid.450217.5
grid.4293.c,Child,grid.485976.1
grid.4293.c,Child,grid.466835.a
grid.4293.c,Child,grid.437046.2
grid.4293.c,Child,grid.450005.4
grid.4293.c,Child,grid.450006.7
grid.4293.c,Child,grid.437049.d
grid.4293.c,Child,grid.450009.8
grid.4293.c,Child,grid.436940.c
grid.4293.c,Child,grid.437052.7
grid.4293.c,Child,grid.436939.2
grid.4293.c,Child,grid.466954.c
grid.4293.c,Child,grid.437044.0
grid.4293.c,Child,grid.450008.9
grid.4293.c,Child,grid.462980.1
grid.4299.6,Child,grid.475758.c
grid.4299.6,Child,grid.466489.1
grid.4299.6,Child,grid.475759.d
grid.4299.6,Child,grid.418729.1
grid.4299.6,Child,grid.472493.f
grid.4299.6,Child,grid.24194.3a
grid.4299.6,Child,grid.469466.f
grid.4299.6,Child,grid.475760.7
grid.4299.6,Child,grid.475761.6
grid.4299.6,Child,grid.475762.5
grid.4299.6,Child,grid.475764.3
grid.4299.6,Child,grid.475766.1
grid.4299.6,Child,grid.475768.f
grid.4299.6,Child,grid.475467.3
grid.4299.6,Child,grid.475770.6
grid.4299.6,Child,grid.473531.7
grid.4299.6,Child,grid.475771.7
grid.4299.6,Child,grid.475773.5
grid.4299.6,Child,grid.450258.e
grid.4299.6,Child,grid.475775.3
grid.4299.6,Child,grid.475777.1
grid.4299.6,Child,grid.417521.4
grid.4299.6,Child,grid.475780.9
grid.4299.6,Child,grid.475782.b
grid.4299.6,Child,grid.426424.2
grid.4299.6,Child,grid.475784.d
grid.4299.6,Child,grid.475787.e
grid.4305.2,Related,grid.418716.d
grid.4305.2,Related,grid.496757.e
grid.4305.2,Related,grid.416425.0
grid.4305.2,Related,grid.449997.e
grid.4305.2,Related,grid.417068.c
grid.4305.2,Child,grid.470885.6
grid.4305.2,Child,grid.483689.8
grid.4305.2,Child,grid.482685.5
grid.4307.0,Child,grid.462017.6
grid.4307.0,Child,grid.463868.7
grid.4307.0,Child,grid.462516.2
grid.4307.0,Child,grid.463932.9
grid.4307.0,Child,grid.464187.8
grid.4307.0,Child,grid.482824.0
grid.4307.0,Child,grid.464088.6
grid.4319.f,Child,grid.71869.31
grid.4319.f,Child,grid.410353.0
grid.4319.f,Child,grid.33185.3c
grid.4332.6,Related,grid.484678.1
grid.4365.4,Child,grid.464178.8
grid.4365.4,Child,grid.462924.f
grid.4367.6,Related,grid.239359.7
grid.4367.6,Related,grid.410523.1
grid.4367.6,Related,grid.416775.6
grid.4367.6,Related,grid.411019.c
grid.4367.6,Child,grid.468565.c
grid.4367.6,Child,grid.471404.2
grid.4372.2,Child,grid.461961.d
grid.4372.2,Child,grid.464656.3
grid.4372.2,Child,grid.466493.a
grid.4372.2,Child,grid.438114.b
grid.4372.2,Child,grid.461715.0
grid.4372.2,Child,grid.418026.9
grid.4372.2,Child,grid.418028.7
grid.4372.2,Child,grid.424215.4
grid.4372.2,Child,grid.434972.f
grid.4372.2,Child,grid.450323.3
grid.4372.2,Child,grid.462507.2
grid.4372.2,Child,grid.484444.c
grid.4372.2,Child,grid.470196.d
grid.4372.2,Child,grid.431460.4
grid.4372.2,Child,grid.421185.b
grid.4372.2,Child,grid.484448.0
grid.4372.2,Child,grid.474028.d
grid.4372.2,Child,grid.470201.0
grid.4372.2,Child,grid.429508.2
grid.4372.2,Child,grid.452596.9
grid.4372.2,Child,grid.419500.9
grid.4372.2,Child,grid.419501.8
grid.4372.2,Child,grid.419580.1
grid.4372.2,Child,grid.419502.b
grid.4372.2,Child,grid.418140.8
grid.4372.2,Child,grid.419505.c
grid.4372.2,Child,grid.418160.a
grid.4372.2,Child,grid.419576.8
grid.4372.2,Child,grid.419507.e
grid.4372.2,Child,grid.419509.0
grid.4372.2,Child,grid.419607.d
grid.4372.2,Child,grid.461768.a
grid.4372.2,Child,grid.461770.3
grid.4372.2,Child,grid.419511.9
grid.4372.2,Child,grid.419495.4
grid.4372.2,Child,grid.419514.c
grid.4372.2,Child,grid.419517.f
grid.4372.2,Child,grid.461782.e
grid.4372.2,Child,grid.461787.b
grid.4372.2,Child,grid.419518.0
grid.4372.2,Child,grid.419520.b
grid.4372.2,Child,grid.419522.9
grid.4372.2,Child,grid.450265.0
grid.4372.2,Child,grid.461774.7
grid.4372.2,Child,grid.450243.4
grid.4372.2,Child,grid.418032.c
grid.4372.2,Child,grid.419524.f
grid.4372.2,Child,grid.419526.d
grid.4372.2,Child,grid.418159.0
grid.4372.2,Child,grid.419528.3
grid.4372.2,Child,grid.469479.1
grid.4372.2,Child,grid.419534.e
grid.4372.2,Child,grid.13829.31
grid.4372.2,Child,grid.419529.2
grid.4372.2,Child,grid.461798.5
grid.4372.2,Child,grid.419532.8
grid.4372.2,Child,grid.414703.5
grid.4372.2,Child,grid.418034.a
grid.4372.2,Child,grid.450268.d
grid.4372.2,Child,grid.461801.a
grid.4372.2,Child,grid.419538.2
grid.4372.2,Child,grid.418390.7
grid.4372.2,Child,grid.419604.e
grid.4372.2,Child,grid.419542.f
grid.4372.2,Child,grid.435824.c
grid.4372.2,Child,grid.419498.9
grid.4372.2,Child,grid.419547.a
grid.4372.2,Child,grid.419550.c
grid.4372.2,Child,grid.450267.2
grid.4372.2,Child,grid.461813.9
grid.4372.2,Child,grid.461785.9
grid.4372.2,Child,grid.462523.4
grid.4372.2,Child,grid.469860.5
grid.4372.2,Child,grid.435826.e
grid.4372.2,Child,grid.419552.e
grid.4372.2,Child,grid.461808.3
grid.4372.2,Child,grid.419554.8
grid.4372.2,Child,grid.419556.a
grid.4372.2,Child,grid.419560.f
grid.4372.2,Child,grid.469873.7
grid.4372.2,Child,grid.419562.d
grid.4372.2,Child,grid.469852.4
grid.4372.2,Child,grid.454072.0
grid.4372.2,Child,grid.461792.f
grid.4372.2,Child,grid.418615.f
grid.4372.2,Child,grid.419494.5
grid.4372.2,Child,grid.419564.b
grid.4372.2,Child,grid.429509.3
grid.4372.2,Child,grid.450270.4
grid.4372.2,Child,grid.419537.d
grid.4372.2,Child,grid.418441.c
grid.4372.2,Child,grid.429510.b
grid.4372.2,Child,grid.461804.f
grid.4372.2,Child,grid.475228.e
grid.4372.2,Child,grid.419548.5
grid.4372.2,Child,grid.450272.6
grid.4372.2,Child,grid.494632.e
grid.4372.2,Child,grid.470209.8
grid.4372.2,Child,grid.462530.6
grid.4372.2,Child,grid.469476.e
grid.4372.2,Child,grid.457402.0
grid.4372.2,Child,grid.469346.a
grid.4372.2,Child,grid.419089.d
grid.4391.f,Child,grid.454049.8
grid.4391.f,Child,grid.453879.4
grid.4399.7,Parent,grid.468967.2
grid.4399.7,Child,grid.463765.5
grid.4399.7,Child,grid.463789.7
grid.4399.7,Child,grid.433534.6
grid.4399.7,Child,grid.464124.1
grid.4399.7,Child,grid.483415.f
grid.4399.7,Child,grid.464064.4
grid.4399.7,Child,grid.466785.e
grid.4399.7,Child,grid.463972.d
grid.4399.7,Child,grid.464167.6
grid.4399.7,Child,grid.463866.9
grid.4399.7,Child,grid.462928.3
grid.4399.7,Child,grid.470941.f
grid.4399.7,Child,grid.463994.5
grid.4399.7,Child,grid.483397.2
grid.4399.7,Child,grid.462058.d
grid.4399.7,Child,grid.461907.d
grid.4399.7,Child,grid.462350.6
grid.4399.7,Child,grid.462475.6
grid.4399.7,Child,grid.484419.4
grid.4399.7,Child,grid.463966.8
grid.4399.7,Child,grid.463763.3
grid.4399.7,Child,grid.462526.1
grid.4399.7,Child,grid.463853.f
grid.4399.7,Child,grid.462603.5
grid.4399.7,Child,grid.464031.4
grid.4399.7,Child,grid.464142.1
grid.4399.7,Child,grid.464053.0
grid.4399.7,Child,grid.464138.c
grid.4399.7,Child,grid.463842.f
grid.4399.7,Child,grid.464085.b
grid.4399.7,Child,grid.482755.9
grid.4399.7,Child,grid.464114.2
grid.4425.7,Related,grid.452080.b
grid.4425.7,Related,grid.413582.9
grid.4425.7,Related,grid.415992.2
grid.4425.7,Related,grid.419317.9
grid.4437.4,Parent,grid.3575.4
grid.4444.0,Child,grid.468186.5
grid.4444.0,Child,grid.482726.d
grid.4444.0,Child,grid.468120.9
grid.4444.0,Child,grid.482723.8
grid.4444.0,Child,grid.482729.2
grid.4444.0,Child,grid.462023.1
grid.4444.0,Child,grid.470984.6
grid.4444.0,Child,grid.457022.6
grid.4444.0,Child,grid.482735.f
grid.4444.0,Child,grid.433124.3
grid.4444.0,Child,grid.452348.c
grid.4444.0,Child,grid.482742.f
grid.4444.0,Child,grid.482740.d
grid.4444.0,Child,grid.482737.d
grid.4444.0,Child,grid.482738.2
grid.4444.0,Child,grid.457012.5
grid.4444.0,Child,grid.457018.f
grid.4444.0,Child,grid.456999.e
grid.4444.0,Child,grid.457015.2
grid.4444.0,Child,grid.457016.1
grid.4444.0,Child,grid.457014.3
grid.4444.0,Child,grid.457017.0
grid.4444.0,Child,grid.457013.4
grid.4444.0,Child,grid.482739.3
grid.4444.0,Child,grid.482743.e
grid.4444.0,Child,grid.462959.5
grid.4444.0,Child,grid.482747.a
grid.4444.0,Child,grid.482744.9
grid.4444.0,Child,grid.482750.c
grid.4444.0,Child,grid.494528.6
grid.4444.0,Child,grid.462763.2
grid.4444.0,Child,grid.482754.8
grid.4444.0,Child,grid.482753.f
grid.4444.0,Child,grid.482755.9
grid.4461.7,Parent,grid.412304.0
grid.4461.7,Child,grid.463727.3
grid.4461.7,Child,grid.462897.6
grid.4461.7,Child,grid.462516.2
grid.4461.7,Child,grid.461903.9
grid.4461.7,Child,grid.463989.9
grid.4461.7,Child,grid.464003.5
grid.4461.7,Child,grid.497265.b
grid.4461.7,Child,grid.463873.d
grid.4461.7,Child,grid.462765.4
grid.4461.7,Child,grid.463735.0
grid.4461.7,Child,grid.462791.f
grid.4461.7,Child,grid.464005.3
grid.4461.7,Child,grid.462613.4
grid.4461.7,Child,grid.464061.1
grid.4461.7,Child,grid.464195.b
grid.4461.7,Child,grid.483682.3
grid.4461.7,Child,grid.462796.8
grid.4461.7,Child,grid.464109.e
grid.4462.4,Related,grid.416552.1
grid.4462.4,Related,grid.416479.9
grid.4464.2,Related,grid.412933.e
grid.4464.2,Related,grid.424926.f
grid.4464.2,Child,grid.88379.3d
grid.4464.2,Child,grid.424182.9
grid.4464.2,Child,grid.15874.3f
grid.4464.2,Child,grid.7445.2
grid.4464.2,Child,grid.18886.3f
grid.4464.2,Child,grid.13097.3c
grid.4464.2,Child,grid.453664.6
grid.4464.2,Child,grid.14868.33
grid.4464.2,Child,grid.13063.37
grid.4464.2,Child,grid.8991.9
grid.4464.2,Child,grid.4868.2
grid.4464.2,Child,grid.421653.7
grid.4464.2,Child,grid.417786.b
grid.4464.2,Child,grid.4970.a
grid.4464.2,Child,grid.20931.39
grid.4464.2,Child,grid.467451.5
grid.4464.2,Child,grid.22631.34
grid.4464.2,Child,grid.264200.2
grid.4464.2,Child,grid.83440.3b
grid.4488.0,Related,grid.460801.b
grid.4488.0,Related,grid.470122.2
grid.4488.0,Related,grid.413263.1
grid.4488.0,Related,grid.412282.f
grid.4488.0,Child,grid.495510.c
grid.4489.1,Related,grid.466807.b
grid.4489.1,Related,grid.459499.c
grid.4489.1,Related,grid.413563.6
grid.4489.1,Related,grid.411380.f
grid.4491.8,Related,grid.411798.2
grid.4491.8,Related,grid.412826.b
grid.4494.d,Related,grid.4830.f
grid.4514.4,Related,grid.411843.b
grid.4527.4,Parent,grid.414603.4
grid.4527.4,Parent,grid.410531.2
grid.4556.2,Parent,grid.413453.4
grid.4561.6,Child,grid.469360.e
grid.4561.6,Child,grid.418018.4
grid.4561.6,Child,grid.452079.d
grid.4561.6,Child,grid.469832.2
grid.4561.6,Child,grid.469859.f
grid.4561.6,Child,grid.469835.5
grid.4561.6,Child,grid.469872.6
grid.4561.6,Child,grid.418688.b
grid.4561.6,Child,grid.469870.4
grid.4561.6,Child,grid.418007.a
grid.4561.6,Child,grid.461615.1
grid.4561.6,Child,grid.469867.2
grid.4561.6,Child,grid.452493.d
grid.4561.6,Child,grid.469871.5
grid.4561.6,Child,grid.418008.5
grid.4561.6,Child,grid.461622.5
grid.4561.6,Child,grid.461616.2
grid.4561.6,Child,grid.469836.6
grid.4561.6,Child,grid.461618.c
grid.4561.6,Child,grid.469861.4
grid.4561.6,Child,grid.469847.0
grid.4561.6,Child,grid.469865.0
grid.4561.6,Child,grid.424428.c
grid.4561.6,Child,grid.469863.6
grid.4561.6,Child,grid.469818.a
grid.4561.6,Child,grid.461619.d
grid.4561.6,Child,grid.461627.0
grid.4561.6,Child,grid.434477.7
grid.4561.6,Child,grid.461635.3
grid.4561.6,Child,grid.469823.2
grid.4561.6,Child,grid.469855.3
grid.4561.6,Child,grid.469822.3
grid.4561.6,Child,grid.469831.1
grid.4561.6,Child,grid.461628.f
grid.4561.6,Child,grid.461651.1
grid.4561.6,Child,grid.469833.3
grid.4561.6,Child,grid.461617.3
grid.4561.6,Child,grid.469827.6
grid.4561.6,Child,grid.461641.0
grid.4561.6,Child,grid.461645.4
grid.4561.6,Child,grid.469854.2
grid.4561.6,Child,grid.418010.c
grid.4561.6,Child,grid.469830.0
grid.4561.6,Child,grid.469837.7
grid.4561.6,Child,grid.469851.7
grid.4561.6,Child,grid.469853.5
grid.4561.6,Child,grid.461631.7
grid.4561.6,Child,grid.466709.a
grid.4561.6,Child,grid.469819.b
grid.4561.6,Child,grid.461634.2
grid.4561.6,Child,grid.469839.9
grid.4561.6,Child,grid.469848.f
grid.4561.6,Child,grid.424644.4
grid.4561.6,Child,grid.469817.5
grid.4561.6,Child,grid.434479.9
grid.4561.6,Child,grid.434481.e
grid.4561.6,Child,grid.462227.7
grid.4561.6,Child,grid.459551.9
grid.4561.6,Child,grid.469856.0
grid.4561.6,Child,grid.418009.4
grid.4561.6,Child,grid.469826.7
grid.4561.6,Child,grid.8440.8
grid.4561.6,Child,grid.469829.8
grid.4561.6,Child,grid.466706.5
grid.4561.6,Child,grid.469820.1
grid.4561.6,Child,grid.428590.2
grid.4561.6,Child,grid.422955.d
grid.4561.6,Child,grid.469866.3
