grid_id,external_id_type,external_id
grid.4365.4,ISNI,0000 0004 0640 9448
grid.4365.4,OrgRef,416830
grid.4365.4,Wikidata,Q2007769
grid.4367.6,ISNI,0000 0001 2355 7002
grid.4367.6,FundRef,100007268
grid.4367.6,FundRef,100009607
grid.4367.6,FundRef,100006586
grid.4367.6,FundRef,100007930
grid.4367.6,OrgRef,58920
grid.4367.6,OrgRef,6091448
grid.4367.6,OrgRef,3016402
grid.4367.6,Wikidata,Q777403
grid.4372.2,ISNI,0000 0001 2105 1091
grid.4372.2,FundRef,501100004189
grid.4372.2,OrgRef,614753
grid.4372.2,Wikidata,Q158085
grid.4391.f,ISNI,0000 0001 2112 1969
grid.4391.f,FundRef,100009612
grid.4391.f,FundRef,100005587
grid.4391.f,OrgRef,233155
grid.4391.f,Wikidata,Q861888
grid.4399.7,ISNI,0000000122879528
grid.4399.7,FundRef,501100006137
grid.4399.7,Wikidata,Q2910510
grid.4422.0,ISNI,0000 0001 2152 3263
grid.4422.0,FundRef,501100004195
grid.4422.0,OrgRef,505985
grid.4422.0,Wikidata,Q1074015
grid.4425.7,ISNI,0000 0004 0368 0654
grid.4425.7,FundRef,501100004144
grid.4425.7,HESA,0065
grid.4425.7,UCAS,L51
grid.4425.7,UKPRN,10003957
grid.4425.7,OrgRef,395962
grid.4425.7,Wikidata,Q1627967
grid.4437.4,ISNI,0000 0001 0505 4321
grid.4437.4,OrgRef,1246706
grid.4437.4,Wikidata,Q1856835
grid.4444.0,ISNI,0000 0001 2112 9282
grid.4444.0,FundRef,501100004794
grid.4444.0,OrgRef,144610
grid.4444.0,Wikidata,Q280413
grid.4444.0,Wikidata,Q39411466
grid.4461.7,ISNI,0000 0001 2186 1211
grid.4461.7,FundRef,501100007856
grid.4461.7,OrgRef,2062110
grid.4461.7,Wikidata,Q500740
grid.4462.4,ISNI,0000 0001 2176 9482
grid.4462.4,OrgRef,1840561
grid.4462.4,Wikidata,Q426045
grid.4463.5,ISNI,0000 0001 0558 8585
grid.4463.5,OrgRef,18715318
grid.4463.5,Wikidata,Q550263
grid.4464.2,ISNI,0000 0001 2161 2573
grid.4464.2,FundRef,501100000779
grid.4464.2,FundRef,501100000745
grid.4464.2,HESA,0151
grid.4464.2,UKPRN,10007797
grid.4464.2,OrgRef,60919
grid.4464.2,Wikidata,Q170027
grid.4464.2,Wikidata,Q7864067
grid.4466.0,ISNI,0000 0001 0578 5482
grid.4466.0,OrgRef,4957696
grid.4466.0,Wikidata,Q1054324
grid.4488.0,ISNI,0000 0001 2111 7257
grid.4488.0,FundRef,501100002957
grid.4488.0,FundRef,501100007491
grid.4488.0,OrgRef,827048
grid.4488.0,Wikidata,Q158158
grid.4488.0,Wikidata,Q47462771
grid.4489.1,ISNI,0000000121678994
grid.4489.1,FundRef,501100006393
grid.4489.1,OrgRef,10087389
grid.4489.1,Wikidata,Q1232180
grid.4491.8,ISNI,0000 0004 1937 116X
grid.4491.8,FundRef,100007397
grid.4491.8,FundRef,100007672
grid.4491.8,FundRef,100008579
grid.4491.8,FundRef,100008551
grid.4491.8,FundRef,100007543
grid.4491.8,OrgRef,38091
grid.4491.8,OrgRef,36711291
grid.4491.8,Wikidata,Q31519
grid.4494.d,ISNI,0000 0000 9558 4598
grid.4494.d,FundRef,501100005075
grid.4494.d,OrgRef,10637920
grid.4494.d,Wikidata,Q2057113
grid.4495.c,ISNI,0000 0001 1090 049X
grid.4495.c,OrgRef,446709
grid.4495.c,Wikidata,Q1916589
grid.4514.4,ISNI,0000 0001 0930 2361
grid.4514.4,FundRef,501100003252
grid.4514.4,FundRef,501100006738
grid.4514.4,FundRef,501100004817
grid.4514.4,OrgRef,17843
grid.4514.4,OrgRef,216888
grid.4514.4,Wikidata,Q218506
grid.4514.4,Wikidata,Q3578307
grid.4521.2,ISNI,0000 0004 1769 9380
grid.4521.2,FundRef,501100006368
grid.4521.2,OrgRef,7805101
grid.4521.2,Wikidata,Q940302
grid.4527.4,ISNI,0000000106678902
grid.4527.4,Wikidata,Q3803751
grid.4551.5,ISNI,0000 0001 2109 901X
grid.4551.5,OrgRef,1243036
grid.4551.5,Wikidata,Q1465448
grid.4556.2,ISNI,0000 0004 0493 9031
grid.4556.2,OrgRef,18480293
grid.4556.2,Wikidata,Q251061
grid.4561.6,ISNI,0000 0000 9261 3939
grid.4561.6,FundRef,501100003185
grid.4561.6,OrgRef,197440
grid.4561.6,Wikidata,Q161057
grid.4562.5,ISNI,0000 0001 0057 2672
grid.4562.5,FundRef,501100004168
grid.4562.5,OrgRef,9857257
grid.4562.5,OrgRef,47000536
grid.4562.5,Wikidata,Q317087
grid.4563.4,ISNI,0000 0004 1936 8868
grid.4563.4,FundRef,501100000837
grid.4563.4,FundRef,501100007882
grid.4563.4,FundRef,501100004293
grid.4563.4,HESA,0155
grid.4563.4,UCAS,N84
grid.4563.4,UKPRN,10007154
grid.4563.4,OrgRef,25086027
grid.4563.4,Wikidata,Q472316
grid.4567.0,ISNI,0000 0004 0483 2525
grid.4567.0,OrgRef,47000413
grid.4567.0,Wikidata,Q878592
grid.4578.e,ISNI,0000 0004 0639 1225
grid.4578.e,Wikidata,Q4581256
grid.4605.7,ISNI,0000000121896553
grid.4605.7,OrgRef,1558948
grid.4605.7,Wikidata,Q1637997
grid.4612.1,ISNI,0000 0000 9172 2308
grid.4616.5,ISNI,0000 0004 0542 3598
grid.4643.5,ISNI,0000 0004 1937 0327
grid.4643.5,FundRef,501100006690
grid.4643.5,OrgRef,1516786
grid.4643.5,Wikidata,Q392904
grid.4655.2,ISNI,0000 0004 0417 0154
grid.4655.2,OrgRef,659722
grid.4655.2,Wikidata,Q703620
grid.4691.a,ISNI,0000 0001 0790 385X
grid.4691.a,FundRef,100007195
grid.4691.a,FundRef,100009052
grid.4691.a,OrgRef,4932663
grid.4691.a,Wikidata,Q691851
grid.4694.f,ISNI,0000 0004 0622 3715
grid.4694.f,Wikidata,Q18349009
grid.4701.2,ISNI,0000 0001 0728 6636
grid.4701.2,FundRef,100009153
grid.4701.2,HESA,0074
grid.4701.2,UCAS,P80
grid.4701.2,UKPRN,10007155
grid.4701.2,OrgRef,564419
grid.4701.2,Wikidata,Q2744209
grid.4708.b,ISNI,0000 0004 1757 2822
grid.4708.b,OrgRef,453576
grid.4708.b,Wikidata,Q46210
grid.4709.a,ISNI,0000 0004 0495 846X
grid.4709.a,OrgRef,1063960
grid.4709.a,Wikidata,Q695267
grid.4711.3,ISNI,0000 0001 2183 4846
grid.4711.3,FundRef,501100003339
grid.4711.3,OrgRef,5195182
grid.4711.3,Wikidata,Q1024362
grid.4714.6,ISNI,0000 0004 1937 0626
grid.4714.6,FundRef,501100004047
grid.4714.6,OrgRef,216908
grid.4714.6,Wikidata,Q219564
grid.4748.f,ISNI,0000 0001 2169 0918
grid.4748.f,Wikidata,Q275623
grid.4756.0,ISNI,0000 0001 2112 2291
grid.4756.0,FundRef,501100001261
grid.4756.0,HESA,0076
grid.4756.0,UCAS,L75
grid.4756.0,UKPRN,10004078
grid.4756.0,OrgRef,386181
