grid_id,alias
grid.10334.35,Technical University of Heavy Industry
grid.10346.30,Leeds Polytechnic
grid.10346.30,Leeds Metropolitan University
grid.10347.31,Universiti Malaya
grid.10392.39,"Eberhard Karls University, Tübingen"
grid.10414.30,UMF Tîrgu Mureș
grid.10414.30,Universitatea de Medicină și Farmacie din Tîrgu Mureș
grid.10493.3f,Rostock University
grid.10506.32,Ente nazionale per l'energia elettrica
grid.10516.33,İstanbul Teknik Üniversitesi
grid.10548.38,Stockholms universitet
grid.10599.34,National Agrarian University - La Molina
grid.10698.36,UNC-Chapel Hill
grid.10733.36,University of Niamey
grid.10760.30,Royal DSM
grid.10789.37,Uniwersytet Łódzki
grid.10818.30,Université Nationale du Rwanda
grid.10818.30,Kaminuza Nkuru y’u Rwanda
grid.10818.30,National University of Rwanda
grid.10822.39,Univerzitet u Novom Sadu
grid.10825.3e,South Danish University
grid.10858.34,Oulun yliopisto
grid.10863.3c,Universidá d'Uviéu
grid.10914.3d,Royal NIOZ
grid.10917.3e,Institute of Marine Research
grid.10917.3e,Havforskningsinstituttet
grid.10919.30,University of Tromsø - The Arctic University of Norway
grid.10939.32,Tartu Ülikool
grid.10979.36,Univerzita Palackého v Olomouci
grid.10992.33,Université Paris 5 René Descartes
grid.11024.36,Paris Dauphine
grid.11028.3a,Univerzita Pardubice
grid.11047.33,Panepistímio Patrón
grid.11134.36,Peyups
grid.11134.36,UP Diliman
grid.11135.37,Imperial University of Peking
grid.11136.34,Universitat de Perpinyà Via Domitia
grid.11142.37,Universiti Pertanian Malaysia
grid.11173.35,Punjab University
grid.11175.33,Univerzita Pavla Jozefa Šafárika v Košiciach
grid.11176.30,UP Los Baños
grid.11187.3e,The Paisii Hilendarski University of Plovdiv
grid.11201.33,Exeter College of Art and Design
grid.11205.37,Ecclesiastical Schools
grid.11205.37,Saragossa University
grid.11220.30,Boğaziçi Üniversitesi
grid.11318.3a,University of Paris North
grid.11355.33,Sv. Kliment Ohridski
grid.11355.33,Sofiyski universitet
grid.11355.33,St. Kliment Ohridski
grid.11374.30,Univerzitet u Nišu
grid.11417.32,Universitas Tolosatibus
grid.11447.37,IBM Haifa Research Lab
grid.11469.3b,Trentino Institute of Culture
grid.11477.34,Universiteti Politeknik i Tiranës
grid.11480.3c,Euskal Herriko Unibertsitatea
grid.11500.35,Fachhochschule Hamburg
grid.11503.36,Tropeninstituut
grid.11503.36,Colonial Museum
grid.11503.36,Colonial Institute
grid.11505.30,Prince Leopold Institute of Tropical Medicine
grid.11543.32,Association pour la recherche et le développement des méthodes et processus industriels
grid.11553.33,Padjadjaran University
grid.11567.34,Mediterranea University
grid.11567.34,Mediterranea University of Reggio Calabria
grid.11667.37,University of Reims
grid.11702.35,Roskilde Universitet
grid.11793.3d,Universidad de San Carlos de Guatemala
grid.11804.3c,Semmelweis Egyetem
grid.11835.3e,Sheffield University
grid.11841.3d,Medical Center of Fudan University
grid.11866.38,Uniwersytet Śląski w Katowicach
grid.11869.37,Univerzitet u Sarajevu/Универзитет у Сарајеву
grid.11906.3f,Grenoble II
grid.11914.3c,St Andrews University
grid.11951.3d,Wits University
grid.11956.3a,University of Stellenbosch
grid.11956.3a,Universiteit van Stellenbosch
grid.12056.30,University of Suceava
grid.12056.30,"Universitatea ""Ștefan cel Mare"" din Suceava"
grid.12112.31,Institutt for Energiteknikk
grid.12148.3e,Santa Maria University
grid.12155.32,Limburgs Universitair Centrum
grid.12306.36,Universiteti i Tiranës
grid.12316.37,Univerzitet Crne Gore
grid.12332.31,Lappeenrannan teknillinen yliopisto
grid.12362.34,Prifysgol Cymru Y Drindod Dewi Sant
grid.12364.32,University of Benin
grid.12366.30,University of Tours
grid.12650.30,Umeå universitet
grid.12826.3f,Hydraulics Research Station
grid.12847.38,Uniwersytet Warszawski
grid.12955.3a,Xiàmén Dàxué
grid.13063.37,London School of Economics
grid.13252.37,Uniwersytet Ekonomiczny we Wrocławiu
grid.13276.31,Szkoła Główna Gospodarstwa Wiejskiego
grid.13291.38,Sìchuān Dàxué
grid.13394.3c,Shinjang Tibbiy Universitet
grid.13394.3c,Xinjiang Medical College
grid.13399.31,Ytkemiska Institutet
grid.13402.34,Zheda
grid.13402.34,Chekiang University
grid.13464.34,IFP Énergies Nouvelles
grid.13464.34,"Institut du Pétrole, des Carburants et des Lubrifiants"
grid.13464.34,"Institute of Oil, Fuels and Lubricants"
grid.13508.3f,Danmarks og Grønlands Geologiske Undersøgelse
grid.13574.34,Ministry of Enterprise and Innovation
grid.13796.3a,Scandinavian Steels Are Better
grid.13797.3b,Åbo Akademi
grid.13799.35,Corus Group
grid.13950.3e,Neurobiologie de l'Olfaction
grid.13985.36,Forskningsrådet
grid.13985.36,Norges Forskningsråd
grid.13992.30,Machon Weizmann LeMada
grid.14001.34,École Centrale des Arts et Manufactures
grid.14003.36,UW–Madison
grid.14003.36,"University of Wisconsin, Wisconsin"
grid.14004.31,Universitatea de Vest din Timișoara
grid.14013.37,Háskóli Íslands
grid.14076.34,British Maritime Technology
grid.14094.38,Ymparistoministerio Milijoministeriet
grid.14095.39,FU Berlin
grid.14127.31,Altice Portugal
grid.14127.31,Company Portuguesa Rádio Marconi
grid.14127.31,PT Portugal SGPS
grid.14170.33,Danmarks Meteorologiske Institut
grid.14329.3d,Klaipėdos Universitetas
grid.14352.31,Mustafa Kemal Üniversitesi
grid.14442.37,Hacettepe Üniversitesi
grid.14476.30,Lomonosov Moscow State University
grid.14509.39,Jihočeská Univerzita v Českých Budějovicích
grid.14648.3f,International Business Machines
grid.14750.37,Tudomanyos Es Technologiai Alapitvany
grid.14758.3f,Terveyden ja Hyvinvoinnin Laitos
grid.14841.38,IFW Dresden
grid.14848.31,Université de Montréal
grid.14906.3a,Panteion University of Social and Political Sciences
grid.15011.34,Rannsóknastofnun Fiskiðnaðarins
grid.15043.33,Universitat de Lleida
grid.15058.39,Cumann Ollscoileanna Éireann
grid.15060.32,Sihtasutus Archimedes
grid.15078.3b,International University Bremen
grid.15098.35,Suomen Akatemia
grid.15098.35,Finlands Akademi
grid.15140.31,ENS Lyon
grid.15140.31,Normale Sup' Lyon
grid.15227.33,Slovenská poľnohospodárska univerzita
grid.15276.37,University of the State of Florida
grid.15312.34,National Institute of Aeronautics
grid.15363.32,INP Toulouse
grid.15419.38,Alsthom
grid.15462.34,University for Continuing Education Krems
grid.15485.3d,Helsingfors universitets centralsjukhus
grid.15485.3d,Helsingin seudun yliopistollinen keskussairaala
grid.15638.39,Institute of Geological and Nuclear Sciences
grid.15653.34,University of Mali
grid.15736.36,The City of Paris Industrial Physics and Chemistry Higher Educational Institution
grid.15751.37,Huddersfield University
grid.15810.3d,Kıbrıs Teknoloji Üniversitesi
grid.15866.3c,Czech University of Agriculture in Prague
grid.15866.3c,Česká zemědělská univerzita v Praze
grid.15878.33,University of Paris VIII
grid.15895.30,Örebro Universitet
grid.15935.3b,Strålsäkerhetscentralen
grid.15935.3b,Säteilyturvakeskus
