"NHS Hospital & Community Health Service (HCHS) workforce statistics: All staff by nationality and HEE region in NHS Trusts and CCGs in England, 31 March 2016 to 31 March 2017, headcount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


,,March 2016,,,,,,,,,,,,,,,March 2017,,,,,,,,,,,,,
,,England,Health Education East Midlands,Health Education East of England,"Health Education Kent, Surrey and Sussex",Health Education North Central and East London,Health Education North East,Health Education North West,Health Education North West London,Health Education South London,Health Education South West,Health Education Thames Valley,Health Education Wessex,Health Education West Midlands,Health Education Yorkshire and the Humber,,England,Health Education East Midlands,Health Education East of England,"Health Education Kent, Surrey and Sussex",Health Education North Central and East London,Health Education North East,Health Education North West,Health Education North West London,Health Education South London,Health Education South West,Health Education Thames Valley,Health Education Wessex,Health Education West Midlands,Health Education Yorkshire and the Humber
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All nationalities,,"1,164,471","89,750","104,175","87,282","71,808","72,684","184,616","53,201","60,981","93,408","38,631","55,991","128,660","124,200",,"1,187,125","93,070","107,273","88,054","73,945","72,763","188,424","54,023","62,471","96,111","39,035","56,101","129,988","126,727"
,Cuban,15,2,2,1,-,-,5,1,2,-,-,1,1,-,,16,2,2,1,-,-,6,1,3,-,-,-,1,-
,Dominican,33,-,3,1,6,-,3,7,6,-,4,3,-,-,,38,-,4,2,11,-,3,7,4,-,3,4,-,-
,Dutch Antillean,9,-,-,-,-,-,1,-,-,-,1,3,2,2,,8,-,-,-,-,-,1,-,-,-,1,2,2,2
,Ecuadorian,20,-,2,-,5,-,-,3,4,1,-,2,2,1,,19,-,2,1,6,-,-,2,5,-,1,1,-,1
,Egyptian,873,76,104,75,62,46,136,24,54,67,15,40,116,60,,989,103,126,85,62,62,152,40,49,56,18,45,114,78
,Emirati,6,1,1,-,1,1,1,-,-,-,-,-,1,-,,18,-,-,2,2,-,3,3,1,-,3,-,3,1
,Equatorial Guinean,4,1,3,-,-,-,-,-,-,-,-,-,-,-,,4,-,3,1,-,-,-,-,-,-,-,-,-,-
,Eritrean,129,1,1,4,12,-,7,12,7,8,-,3,15,59,,146,2,3,4,15,-,6,12,9,9,-,1,15,70
,Ethiopian,93,3,4,4,16,1,6,18,10,7,3,-,5,16,,88,5,4,2,14,1,7,18,8,6,3,-,5,15
,Faroese,1,-,-,-,-,-,1,-,-,-,-,-,-,-,,1,-,-,-,-,-,1,-,-,-,-,-,-,-
,Fijian,48,1,5,2,3,-,1,2,1,4,4,8,17,-,,54,2,5,3,3,-,2,2,2,3,3,7,21,1
,French Guianese,2,-,-,-,1,-,-,-,-,-,-,-,1,-,,2,-,-,-,1,-,-,-,-,-,-,-,1,-
,French Polynesian,1,-,-,-,-,1,-,-,-,-,-,-,-,-,,1,-,-,-,-,1,-,-,-,-,-,-,-,-
,Gabonese,11,-,2,-,-,-,1,-,3,1,1,-,3,-,,7,-,1,-,-,-,1,-,3,-,-,-,2,-
,Gambian,181,5,14,28,23,3,15,9,13,29,4,8,22,8,,197,6,16,33,23,2,19,8,14,32,4,5,23,12
,Georgian,12,-,2,-,1,-,-,3,2,2,-,-,2,-,,12,-,2,1,1,-,1,3,2,1,-,-,1,-
,Ghanaian,"2,246",84,154,127,588,11,106,306,493,42,88,52,75,121,,"2,349",97,166,131,622,15,117,307,512,42,98,50,80,114
,Gibraltar,8,-,5,-,1,-,1,1,-,-,-,-,-,-,,7,-,4,-,1,-,-,2,-,-,-,-,-,-
,Grenadian,52,-,6,-,9,-,1,14,9,2,5,-,3,3,,48,-,5,-,11,-,1,13,7,-,5,1,3,2
,Guadeloupe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,-,-,-,-,-,-,-
,Guamanian,1,-,-,-,1,-,-,-,-,-,-,-,-,-,,1,-,-,-,1,-,-,-,-,-,-,-,-,-
,Guatemalan,5,1,-,-,1,1,-,-,-,1,-,-,-,1,,4,-,-,-,1,-,-,-,1,1,-,-,-,1
,Guinean,24,1,1,2,3,-,-,3,3,-,1,3,1,6,,23,1,1,2,5,-,1,3,2,-,1,2,1,4
