Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
WN8 9PG,Yes,53.530806,-2.765163,349378,404066,SD493040,1/1/1980 12:00:00 AM,,66,,,"Upholland",1.6,"Wigan","Skelmersdale"
WN8 9PH,Yes,53.532109,-2.759801,349735,404207,SD497042,3/1/2009 12:00:00 AM,,73,1,1,"Upholland",1.3,"Wigan","Skelmersdale"
WN8 9PJ,No,53.544382,-2.780258,348394,405588,SD483055,7/1/1995 12:00:00 AM,9/1/2001 12:00:00 AM,61,,,"Rainford",3.1,"Wigan","Skelmersdale"
WN8 9PL,Yes,53.531186,-2.768986,349125,404111,SD491041,1/1/1980 12:00:00 AM,,66,,,"Upholland",1.8,"Wigan","Skelmersdale"
WN8 9PN,Yes,53.525385,-2.758489,349814,403458,SD498034,1/1/1980 12:00:00 AM,,74,,,"Upholland",1.2,"Wigan","Skelmersdale"
WN8 9PP,Yes,53.533656,-2.765033,349390,404383,SD493043,1/1/1980 12:00:00 AM,,70,,,"Upholland",1.7,"Wigan","Skelmersdale"
WN8 9PQ,No,53.527946,-2.762849,349528,403746,SD495037,1/1/1980 12:00:00 AM,10/1/2009 12:00:00 AM,69,,,"Upholland",1.4,"",""
WN8 9PR,Yes,53.526239,-2.755321,350025,403551,SD500035,1/1/1980 12:00:00 AM,,78,,,"Upholland",0.9,"Wigan","Skelmersdale"
WN8 9PS,Yes,53.532418,-2.763623,349482,404245,SD494042,1/1/1980 12:00:00 AM,,68,,,"Upholland",1.5,"Wigan","Skelmersdale"
WN8 9PT,Yes,53.530829,-2.754467,350087,404061,SD500040,1/1/1980 12:00:00 AM,,82,,,"Upholland",0.9,"Wigan","Skelmersdale"
WN8 9PU,No,53.531311,-2.742361,350890,404106,SD508041,1/1/1980 12:00:00 AM,4/1/2009 12:00:00 AM,102,,,"Upholland",0.3,"Wigan","Skelmersdale"
WN8 9PW,Yes,53.53128,-2.75879,349801,404115,SD498041,1/1/1980 12:00:00 AM,,74,,,"Upholland",1.2,"Wigan","Skelmersdale"
WN8 9PX,No,53.532955,-2.766786,349273,404307,SD492043,1/1/1980 12:00:00 AM,3/1/2005 12:00:00 AM,65,,,"Upholland",1.8,"Wigan","Skelmersdale"
WN8 9PY,Yes,53.532693,-2.778021,348528,404285,SD485042,1/1/1980 12:00:00 AM,,64,7,2,"Rainford",1.9,"",""
WN8 9PZ,Yes,53.533306,-2.782,348265,404357,SD482043,1/1/1980 12:00:00 AM,,66,19,10,"Rainford",1.9,"",""
WN8 9QA,No,53.528525,-2.746687,350600,403800,SD506037,12/1/1998 12:00:00 AM,8/1/2002 12:00:00 AM,90,,,"Upholland",0.3,"Wigan","Skelmersdale"
WN8 9QB,Yes,53.528911,-2.743481,350813,403840,SD508038,1/1/1980 12:00:00 AM,,95,,,"Upholland",0.1,"Wigan","Skelmersdale"
WN8 9QD,Yes,53.531716,-2.744963,350718,404153,SD507041,1/1/1980 12:00:00 AM,,95,,,"Upholland",0.4,"Wigan","Skelmersdale"
WN8 9QE,Yes,53.52835,-2.747273,350561,403780,SD505037,1/1/1980 12:00:00 AM,,89,,,"Upholland",0.4,"Wigan","Skelmersdale"
WN8 9QF,Yes,53.534866,-2.770049,349059,404521,SD490045,7/1/2006 12:00:00 AM,,61,,,"Upholland",2.0,"Wigan","Skelmersdale"
