Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
DN9 3DH,Yes,53.487882,-0.984956,467448,399498,SK674994,1/1/1980 12:00:00 AM,,8,49,19,"Kirk Sandall",10.3,"Finningley",""
DN9 3DJ,Yes,53.487595,-0.985084,467440,399466,SK674994,1/1/1980 12:00:00 AM,,8,28,11,"Kirk Sandall",10.3,"Finningley",""
DN9 3DL,Yes,53.486861,-0.985463,467416,399384,SK674993,1/1/1980 12:00:00 AM,,9,73,31,"Kirk Sandall",10.4,"Finningley",""
DN9 3DN,Yes,53.486221,-0.985237,467432,399313,SK674993,1/1/1980 12:00:00 AM,,9,58,25,"Kirk Sandall",10.4,"Finningley",""
DN9 3DP,Yes,53.486352,-0.983757,467530,399329,SK675993,1/1/1980 12:00:00 AM,,9,14,6,"Kirk Sandall",10.5,"Finningley",""
DN9 3DQ,Yes,53.486967,-0.987344,467291,399394,SK672993,1/1/1980 12:00:00 AM,,9,53,26,"Kirk Sandall",10.3,"Finningley",""
DN9 3DR,Yes,53.487884,-0.982108,467637,399501,SK676995,1/1/1980 12:00:00 AM,,9,68,33,"Kirk Sandall",10.4,"Finningley",""
DN9 3DS,Yes,53.490992,-0.978389,467879,399850,SK678998,1/1/1980 12:00:00 AM,,8,7,2,"Kirk Sandall",10.3,"Finningley",""
DN9 3DT,No,53.488801,-0.980006,467775,399605,SK677996,1/1/1980 12:00:00 AM,11/1/2007 12:00:00 AM,8,,,"Kirk Sandall",10.4,"Finningley",""
DN9 3DU,Yes,53.501626,-0.959545,469112,401051,SE691010,1/1/1980 12:00:00 AM,,6,14,4,"Kirk Sandall",10.2,"",""
DN9 3DW,Yes,53.480292,-0.980361,467765,398658,SK677986,1/1/1980 12:00:00 AM,,7,,,"Kirk Sandall",11.2,"",""
DN9 3DX,No,53.503941,-0.968712,468500,401300,SE684012,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,6,,,"Kirk Sandall",9.6,"",""
DN9 3DY,Yes,53.506014,-0.944375,470111,401554,SE701015,1/1/1980 12:00:00 AM,,4,6,2,"Hatfield and Stainforth",10.6,"",""
DN9 3DZ,Yes,53.518996,-0.948713,469802,402994,SE698029,1/1/1980 12:00:00 AM,,3,6,4,"Hatfield and Stainforth",9.2,"",""
DN9 3EB,Yes,53.486047,-0.990895,467057,399288,SK670992,1/1/1980 12:00:00 AM,,8,11,6,"Kirk Sandall",10.2,"Finningley",""
DN9 3ED,Yes,53.485371,-0.992084,466979,399212,SK669992,1/1/1980 12:00:00 AM,,9,48,22,"Kirk Sandall",10.3,"Finningley",""
DN9 3EE,Yes,53.486172,-0.988961,467185,399304,SK671993,1/1/1980 12:00:00 AM,,9,27,11,"Kirk Sandall",10.3,"Finningley",""
DN9 3EF,Yes,53.486984,-0.980863,467721,399402,SK677994,1/1/1980 12:00:00 AM,,8,49,24,"Kirk Sandall",10.5,"Finningley",""
DN9 3EG,Yes,53.486415,-0.981615,467672,399338,SK676993,1/1/1980 12:00:00 AM,,8,49,20,"Kirk Sandall",10.6,"Finningley",""
DN9 3EH,No,53.49478,-1.01004,465773,400242,SE657002,6/1/2007 12:00:00 AM,7/1/2007 12:00:00 AM,9,,,"Kirk Sandall",8.8,"",""
DN9 3EJ,Yes,53.493447,-1.01084,465722,400093,SE657000,1/1/1980 12:00:00 AM,,9,31,12,"Kirk Sandall",8.9,"",""
DN9 3EL,Yes,53.492224,-1.010718,465732,399957,SK657999,7/1/2005 12:00:00 AM,,7,147,47,"Kirk Sandall",9.0,"",""
DN9 3EN,Yes,53.490602,-1.017945,465255,399770,SK652997,1/1/1980 12:00:00 AM,,11,37,12,"Doncaster",8.8,"Finningley",""
DN9 3EP,Yes,53.493193,-1.018247,465231,400058,SE652000,1/1/1980 12:00:00 AM,,10,59,26,"Doncaster",8.7,"Finningley",""
DN9 3EQ,Yes,53.486049,-0.98292,467586,399296,SK675992,1/1/1980 12:00:00 AM,,9,46,18,"Kirk Sandall",10.5,"Finningley",""
DN9 3ER,Yes,53.492243,-1.018571,465211,399952,SK652999,1/1/1980 12:00:00 AM,,12,58,26,"Doncaster",8.7,"Finningley",""
DN9 3ES,Yes,53.491411,-1.017957,465253,399860,SK652998,1/1/1980 12:00:00 AM,,11,42,19,"Doncaster",8.7,"Finningley",""
DN9 3ET,Yes,53.492746,-1.019554,465145,400007,SE651000,1/1/1980 12:00:00 AM,,11,61,26,"Doncaster",8.6,"Finningley",""
DN9 3EU,Yes,53.491739,-1.019607,465143,399895,SK651998,1/1/1980 12:00:00 AM,,11,81,26,"Doncaster",8.6,"Finningley",""
DN9 3EW,Yes,53.491816,-1.016832,465327,399906,SK653999,1/1/1980 12:00:00 AM,,10,92,38,"Doncaster",8.8,"Finningley",""
DN9 3EX,Yes,53.491122,-1.018898,465191,399827,SK651998,1/1/1980 12:00:00 AM,,11,5,3,"Doncaster",8.7,"Finningley",""
DN9 3EY,Yes,53.490461,-1.020405,465092,399752,SK650997,1/1/1980 12:00:00 AM,,11,21,7,"Doncaster",8.6,"Finningley",""
DN9 3EZ,Yes,53.491387,-1.02123,465036,399854,SK650998,1/1/1980 12:00:00 AM,,12,63,23,"Doncaster",8.6,"Finningley",""
DN9 3FA,Yes,53.483923,-0.989888,467127,399053,SK671990,9/1/2013 12:00:00 AM,,8,,,"Kirk Sandall",10.5,"Finningley",""
DN9 3FB,Yes,53.484071,-0.988167,467241,399071,SK672990,10/1/2012 12:00:00 AM,,8,,,"Kirk Sandall",10.5,"Finningley",""
DN9 3FD,Yes,53.482776,-0.994527,466821,398921,SK668989,7/1/2012 12:00:00 AM,,8,,,"Kirk Sandall",10.4,"Finningley",""
DN9 3FE,Yes,53.498111,-0.984923,467434,400636,SE674006,7/1/2003 12:00:00 AM,,7,13,7,"Kirk Sandall",9.4,"Blaxton",""
DN9 3FF,Yes,53.495407,-0.990161,467091,400330,SE670003,3/1/2014 12:00:00 AM,,9,,,"Kirk Sandall",9.4,"Blaxton",""
DN9 3FG,Yes,53.488104,-0.98367,467533,399524,SK675995,7/1/2012 12:00:00 AM,,8,,,"Kirk Sandall",10.3,"Finningley",""
DN9 3FH,Yes,53.485095,-1.023439,464899,399152,SK648991,4/1/2014 12:00:00 AM,,8,,,"Doncaster",8.7,"",""
DN9 3FJ,Yes,53.486071,-1.025271,464776,399259,SK647992,12/1/2014 12:00:00 AM,,8,,,"Doncaster",8.6,"",""
DN9 3FL,Yes,53.491054,-1.01275,465599,399825,SK655998,1/1/2008 12:00:00 AM,,9,,,"Kirk Sandall",9.0,"Finningley",""
DN9 3FN,Yes,53.493379,-1.021107,465041,400076,SE650000,10/1/2008 12:00:00 AM,,9,31,20,"Doncaster",8.5,"Finningley",""
DN9 3FP,Yes,53.485332,-1.024246,464845,399178,SK648991,6/1/2014 12:00:00 AM,,9,,,"Doncaster",8.7,"",""
DN9 3FQ,Yes,53.48453,-1.022833,464940,399090,SK649990,5/1/2014 12:00:00 AM,,9,,,"Doncaster",8.8,"",""
DN9 3FS,Yes,53.487892,-1.021506,465023,399465,SK650994,10/1/2015 12:00:00 AM,,8,,,"Doncaster",8.7,"",""
DN9 3FT,Yes,53.486492,-1.023119,464918,399308,SK649993,11/1/2014 12:00:00 AM,,8,,,"Doncaster",8.7,"",""
DN9 3FU,Yes,53.485509,-1.02141,465033,399200,SK650992,11/1/2015 12:00:00 AM,,9,,,"Doncaster",8.8,"",""
DN9 3FW,Yes,53.484845,-1.021801,465008,399126,SK650991,2/1/2015 12:00:00 AM,,8,,,"Doncaster",8.8,"",""
DN9 3FX,Yes,53.486429,-1.023921,464865,399300,SK648993,12/1/2014 12:00:00 AM,,7,,,"Doncaster",8.6,"",""
DN9 3FY,Yes,53.486368,-1.024433,464831,399293,SK648992,11/1/2015 12:00:00 AM,,7,,,"Doncaster",8.6,"",""
DN9 3FZ,Yes,53.485183,-1.019971,465129,399165,SK651991,1/1/2016 12:00:00 AM,,7,,,"Doncaster",8.9,"",""
DN9 3GA,Yes,53.488283,-1.012138,465644,399517,SK656995,6/1/2000 12:00:00 AM,,12,,,"Doncaster",9.2,"Finningley",""
