Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
S26 2EL,Yes,53.360584,-1.301042,446614,385084,SK466850,6/1/1997 12:00:00 AM,,94,31,17,"Kiveton Bridge",3.1,"Sheffield","Swallownest"
S26 2EN,Yes,53.35979,-1.302002,446551,384995,SK465849,6/1/1997 12:00:00 AM,,91,51,23,"Kiveton Bridge",3.1,"Sheffield","Swallownest"
S26 2EP,Yes,53.364893,-1.310845,445957,385557,SK459855,6/1/1997 12:00:00 AM,,97,65,30,"Woodhouse",3.1,"Sheffield","Swallownest"
S26 2EQ,Yes,53.364442,-1.310537,445978,385507,SK459855,6/1/1997 12:00:00 AM,,97,100,36,"Woodhouse",3.1,"Sheffield","Swallownest"
S26 2ER,Yes,53.358713,-1.306933,446224,384872,SK462848,6/1/1997 12:00:00 AM,,93,130,54,"Kiveton Bridge",3.3,"Sheffield","Swallownest"
S26 2ES,Yes,53.358302,-1.30733,446198,384826,SK461848,6/1/1997 12:00:00 AM,,96,22,10,"Kiveton Bridge",3.3,"Sheffield","Swallownest"
S26 2ET,Yes,53.357607,-1.306831,446232,384749,SK462847,6/1/1997 12:00:00 AM,,95,60,31,"Kiveton Bridge",3.2,"Sheffield","Swallownest"
S26 2EU,Yes,53.36446,-1.299792,446693,385516,SK466855,6/1/1997 12:00:00 AM,,100,29,10,"Kiveton Bridge",3.4,"Sheffield","Swallownest"
S26 2EW,Yes,53.358225,-1.30658,446248,384818,SK462848,6/1/1997 12:00:00 AM,,94,63,28,"Kiveton Bridge",3.2,"Sheffield","Swallownest"
S26 2EX,Yes,53.362567,-1.29282,447159,385310,SK471853,6/1/1997 12:00:00 AM,,101,10,5,"Kiveton Bridge",2.9,"Sheffield","Swallownest"
S26 2EY,Yes,53.360393,-1.309626,446043,385057,SK460850,3/1/2007 12:00:00 AM,,93,7,2,"Woodhouse",3.2,"Sheffield","Swallownest"
S26 2EZ,No,53.36041,-1.30976,446034,385059,SK460850,9/1/2006 12:00:00 AM,3/1/2007 12:00:00 AM,93,,,"Woodhouse",3.2,"Sheffield","Swallownest"
S26 2FA,Yes,53.362958,-1.304189,446402,385346,SK464853,6/1/1997 12:00:00 AM,,93,34,17,"Kiveton Bridge",3.5,"Sheffield","Swallownest"
S26 2FB,Yes,53.362297,-1.303509,446448,385273,SK464852,6/1/1997 12:00:00 AM,,93,38,15,"Kiveton Bridge",3.4,"Sheffield","Swallownest"
S26 2FD,Yes,53.360458,-1.302442,446521,385069,SK465850,6/1/1997 12:00:00 AM,,91,142,60,"Kiveton Bridge",3.2,"Sheffield","Swallownest"
S26 2FE,Yes,53.361435,-1.302125,446541,385178,SK465851,6/1/1997 12:00:00 AM,,92,36,16,"Kiveton Bridge",3.2,"Sheffield","Swallownest"
S26 2FF,Yes,53.361508,-1.303702,446436,385185,SK464851,6/1/1997 12:00:00 AM,,93,47,21,"Kiveton Bridge",3.3,"Sheffield","Swallownest"
S26 2FG,Yes,53.360896,-1.303652,446440,385117,SK464851,6/1/1997 12:00:00 AM,,92,25,14,"Kiveton Bridge",3.3,"Sheffield","Swallownest"
S26 2FH,Yes,53.360367,-1.303856,446427,385058,SK464850,6/1/1997 12:00:00 AM,,90,15,6,"Kiveton Bridge",3.3,"Sheffield","Swallownest"
S26 2FJ,Yes,53.360275,-1.302024,446549,385049,SK465850,6/1/1997 12:00:00 AM,,92,100,42,"Kiveton Bridge",3.2,"Sheffield","Swallownest"
S26 2FL,Yes,53.362801,-1.305033,446346,385328,SK463853,6/1/1997 12:00:00 AM,,93,50,21,"Woodhouse",3.5,"Sheffield","Swallownest"
S26 2FN,Yes,53.362254,-1.305373,446324,385267,SK463852,6/1/1997 12:00:00 AM,,95,103,46,"Woodhouse",3.5,"Sheffield","Swallownest"
S26 2FP,Yes,53.361902,-1.305123,446341,385228,SK463852,6/1/1997 12:00:00 AM,,95,36,16,"Kiveton Bridge",3.4,"Sheffield","Swallownest"
S26 2FQ,Yes,53.361031,-1.305227,446335,385131,SK463851,6/1/1997 12:00:00 AM,,93,39,17,"Kiveton Bridge",3.4,"Sheffield","Swallownest"
S26 2FR,Yes,53.360613,-1.305925,446289,385084,SK462850,6/1/1997 12:00:00 AM,,91,94,40,"Kiveton Bridge",3.4,"Sheffield","Swallownest"
S26 2FS,Yes,53.360149,-1.305046,446348,385033,SK463850,6/1/1997 12:00:00 AM,,90,77,31,"Kiveton Bridge",3.3,"Sheffield","Swallownest"
S26 2FT,Yes,53.361924,-1.307287,446197,385229,SK461852,6/1/1997 12:00:00 AM,,94,26,10,"Woodhouse",3.3,"Sheffield","Swallownest"
S26 2FU,Yes,53.361586,-1.306375,446258,385192,SK462851,6/1/1997 12:00:00 AM,,93,89,34,"Woodhouse",3.4,"Sheffield","Swallownest"
S26 2FW,Yes,53.361142,-1.307314,446196,385142,SK461851,6/1/1997 12:00:00 AM,,92,28,12,"Woodhouse",3.3,"Sheffield","Swallownest"
S26 2FX,Yes,53.360345,-1.306351,446261,385054,SK462850,6/1/1997 12:00:00 AM,,91,23,10,"Kiveton Bridge",3.4,"Sheffield","Swallownest"
S26 2FY,Yes,53.363449,-1.304978,446349,385400,SK463853,6/1/1997 12:00:00 AM,,92,3,1,"Woodhouse",3.5,"Sheffield","Swallownest"
S26 2FZ,Yes,53.362055,-1.288231,447465,385256,SK474852,6/1/1997 12:00:00 AM,,105,,,"Kiveton Bridge",2.7,"",""
S26 2GA,Yes,53.362753,-1.301473,446583,385325,SK465853,6/1/1997 12:00:00 AM,,97,84,42,"Kiveton Bridge",3.3,"Sheffield","Swallownest"
S26 2GB,Yes,53.364077,-1.306621,446239,385469,SK462854,6/1/1997 12:00:00 AM,,94,19,8,"Woodhouse",3.4,"Sheffield","Swallownest"
S26 2GD,Yes,53.358601,-1.304741,446370,384861,SK463848,6/1/1997 12:00:00 AM,,87,60,27,"Kiveton Bridge",3.2,"Sheffield","Swallownest"
S26 2GE,Yes,53.357981,-1.304661,446376,384792,SK463847,6/1/1997 12:00:00 AM,,87,35,15,"Kiveton Bridge",3.1,"Sheffield","Swallownest"
S26 2GF,Yes,53.357504,-1.303046,446484,384740,SK464847,6/1/1997 12:00:00 AM,,79,61,21,"Kiveton Bridge",3.0,"Sheffield","Swallownest"
S26 2GG,Yes,53.357175,-1.303773,446436,384703,SK464847,6/1/1997 12:00:00 AM,,80,58,22,"Kiveton Bridge",3.0,"Sheffield","Swallownest"
S26 2GH,Yes,53.355807,-1.308122,446148,384548,SK461845,6/1/1997 12:00:00 AM,,88,52,18,"Kiveton Bridge",3.2,"Sheffield","Swallownest"
S26 2GJ,Yes,53.355572,-1.30781,446169,384522,SK461845,6/1/1997 12:00:00 AM,,86,47,14,"Kiveton Bridge",3.1,"Sheffield","Swallownest"
S26 2GL,Yes,53.356753,-1.30695,446225,384654,SK462846,6/1/1997 12:00:00 AM,,91,85,30,"Kiveton Bridge",3.2,"Sheffield","Swallownest"
S26 2GN,Yes,53.357217,-1.306251,446271,384706,SK462847,6/1/1997 12:00:00 AM,,91,63,21,"Kiveton Bridge",3.2,"Sheffield","Swallownest"
S26 2GP,Yes,53.356119,-1.306059,446285,384584,SK462845,6/1/1997 12:00:00 AM,,85,60,20,"Kiveton Bridge",3.1,"Sheffield","Swallownest"
S26 2GQ,Yes,53.356502,-1.305376,446330,384627,SK463846,6/1/1997 12:00:00 AM,,84,56,21,"Kiveton Bridge",3.1,"Sheffield","Swallownest"
S26 2GR,Yes,53.35667,-1.304953,446358,384646,SK463846,6/1/1997 12:00:00 AM,,84,56,22,"Kiveton Bridge",3.1,"Sheffield","Swallownest"
S26 2GS,Yes,53.355718,-1.306726,446241,384539,SK462845,6/1/1997 12:00:00 AM,,85,36,13,"Kiveton Bridge",3.1,"Sheffield","Swallownest"
