Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
B13 9DP,Yes,52.448545,-1.880231,408237,283405,SP082834,1/1/1980 12:00:00 AM,,147,113,61,"Small Heath",2.2,"West Midlands","Birmingham"
B13 9DQ,Yes,52.445291,-1.880358,408229,283043,SP082830,1/1/1980 12:00:00 AM,,158,120,50,"Small Heath",2.5,"West Midlands","Birmingham"
B13 9DR,No,52.448662,-1.88054,408216,283418,SP082834,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,147,,,"Small Heath",2.2,"West Midlands","Birmingham"
B13 9DS,Yes,52.447267,-1.879102,408314,283263,SP083832,1/1/1980 12:00:00 AM,,150,94,42,"Small Heath",2.3,"West Midlands","Birmingham"
B13 9DT,Yes,52.448533,-1.877612,408415,283404,SP084834,1/1/1980 12:00:00 AM,,142,50,10,"Small Heath",2.1,"West Midlands","Birmingham"
B13 9DU,Yes,52.449108,-1.876978,408458,283468,SP084834,1/1/1980 12:00:00 AM,,139,50,24,"Small Heath",2.0,"West Midlands","Birmingham"
B13 9DX,Yes,52.449038,-1.879215,408306,283460,SP083834,1/1/1980 12:00:00 AM,,142,127,39,"Small Heath",2.1,"West Midlands","Birmingham"
B13 9DY,Yes,52.448216,-1.883969,407983,283368,SP079833,1/1/1980 12:00:00 AM,,151,24,9,"Small Heath",2.4,"West Midlands","Birmingham"
B13 9DZ,Yes,52.447955,-1.883558,408011,283339,SP080833,1/1/1980 12:00:00 AM,,152,2,1,"Small Heath",2.4,"West Midlands","Birmingham"
B13 9EA,Yes,52.447181,-1.883089,408043,283253,SP080832,1/1/1980 12:00:00 AM,,156,8,4,"Small Heath",2.4,"West Midlands","Birmingham"
B13 9EB,Yes,52.448591,-1.881923,408122,283410,SP081834,1/1/1980 12:00:00 AM,,149,121,65,"Small Heath",2.3,"West Midlands","Birmingham"
B13 9ED,Yes,52.450675,-1.879328,408298,283642,SP082836,1/1/1980 12:00:00 AM,,135,129,43,"Small Heath",2.0,"West Midlands","Birmingham"
B13 9EE,No,52.44248,-1.874746,408611,282731,SP086827,12/1/1998 12:00:00 AM,6/1/2000 12:00:00 AM,155,,,"Hall Green",2.1,"West Midlands","Birmingham"
B13 9EF,Yes,52.445803,-1.88447,407949,283099,SP079830,1/1/1980 12:00:00 AM,,156,1,1,"Small Heath",2.6,"West Midlands","Birmingham"
B13 9EG,Yes,52.445789,-1.88455,407944,283098,SP079830,1/1/1980 12:00:00 AM,,156,2,1,"Small Heath",2.6,"West Midlands","Birmingham"
B13 9EH,Yes,52.443892,-1.883966,407984,282887,SP079828,1/1/1980 12:00:00 AM,,160,158,79,"Hall Green",2.7,"West Midlands","Birmingham"
B13 9EJ,Yes,52.445022,-1.885223,407898,283012,SP078830,1/1/1980 12:00:00 AM,,157,52,24,"Small Heath",2.7,"West Midlands","Birmingham"
