Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
E1 0EZ,Yes,51.509543,-0.061605,534616,180738,TQ346807,9/1/2012 12:00:00 AM,,12,,,"Shadwell",0.4,"Greater London","Tower Hamlets"
E1 0FU,Yes,51.511693,-0.053936,535142,180991,TQ351809,9/1/2015 12:00:00 AM,,15,,,"Shadwell",0.2,"Greater London","Tower Hamlets"
E1 0HE,No,51.513484,-0.048698,535500,181200,TQ354812,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,13,,,"Shadwell",0.6,"Greater London","Tower Hamlets"
E1 0HH,No,51.512513,-0.044416,535800,181100,TQ357810,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,16,,,"Limehouse",0.3,"Greater London","Tower Hamlets"
E1 0HL,No,51.512489,-0.042975,535900,181100,TQ359810,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,14,,,"Limehouse",0.2,"Greater London","Tower Hamlets"
E1 0HR,Yes,51.512569,-0.042268,535949,181110,TQ359811,1/1/1980 12:00:00 AM,,12,37,18,"Limehouse",0.2,"Greater London","Tower Hamlets"
E1 0HS,Yes,51.512892,-0.0429,535904,181145,TQ359811,1/1/1980 12:00:00 AM,,15,6,3,"Limehouse",0.2,"Greater London","Tower Hamlets"
E1 0HT,No,51.512489,-0.042975,535900,181100,TQ359810,6/1/1981 12:00:00 AM,12/1/1985 12:00:00 AM,14,,,"Limehouse",0.2,"Greater London","Tower Hamlets"
E1 0HU,No,51.51159,-0.043014,535900,181000,TQ358809,2/1/1990 12:00:00 AM,12/1/1994 12:00:00 AM,12,,,"Limehouse",0.2,"Greater London","Tower Hamlets"
E1 0HW,No,51.512489,-0.042975,535900,181100,TQ359810,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,14,,,"Limehouse",0.2,"Greater London","Tower Hamlets"
E1 0HX,Yes,51.513019,-0.044005,535827,181157,TQ358811,1/1/1980 12:00:00 AM,,16,,,"Limehouse",0.3,"Greater London","Tower Hamlets"
E1 0HY,Yes,51.512878,-0.04257,535927,181144,TQ359811,1/1/1980 12:00:00 AM,,14,38,21,"Limehouse",0.2,"Greater London","Tower Hamlets"
E1 0HZ,No,51.512489,-0.042975,535900,181100,TQ359810,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,14,,,"Limehouse",0.2,"Greater London","Tower Hamlets"
E1 0JB,No,51.512828,-0.042298,535946,181139,TQ359811,1/1/1980 12:00:00 AM,5/1/2009 12:00:00 AM,14,,,"Limehouse",0.2,"Greater London","Tower Hamlets"
E1 0JD,No,51.512489,-0.042975,535900,181100,TQ359810,1/1/1980 12:00:00 AM,7/1/1997 12:00:00 AM,14,,,"Limehouse",0.2,"Greater London","Tower Hamlets"
E1 0JF,No,51.512513,-0.044416,535800,181100,TQ357810,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,16,,,"Limehouse",0.3,"Greater London","Tower Hamlets"
E1 0JG,Yes,51.512776,-0.043482,535864,181131,TQ358811,6/1/1999 12:00:00 AM,,15,,,"Limehouse",0.3,"Greater London","Tower Hamlets"
E1 0JH,Yes,51.51176,-0.044549,535793,181016,TQ357810,1/1/1980 12:00:00 AM,,14,21,7,"Limehouse",0.3,"Greater London","Tower Hamlets"
E1 0JJ,Yes,51.51286,-0.044718,535778,181138,TQ357811,1/1/1980 12:00:00 AM,,17,123,29,"Limehouse",0.3,"Greater London","Tower Hamlets"
E1 0JL,Yes,51.513056,-0.044594,535786,181160,TQ357811,1/1/1980 12:00:00 AM,,16,26,10,"Limehouse",0.3,"Greater London","Tower Hamlets"
E1 0JN,Yes,51.513015,-0.046484,535655,181152,TQ356811,1/1/1980 12:00:00 AM,,14,38,18,"Limehouse",0.5,"Greater London","Tower Hamlets"
E1 0JP,Yes,51.51261,-0.044815,535772,181110,TQ357811,1/1/1980 12:00:00 AM,,17,46,34,"Limehouse",0.3,"Greater London","Tower Hamlets"
E1 0JQ,Yes,51.512143,-0.04325,535882,181061,TQ358810,2/1/1990 12:00:00 AM,,13,,,"Limehouse",0.2,"Greater London","Tower Hamlets"
E1 0JR,Yes,51.511898,-0.044183,535818,181032,TQ358810,9/1/1991 12:00:00 AM,,14,45,14,"Limehouse",0.3,"Greater London","Tower Hamlets"
E1 0JS,Yes,51.511883,-0.043852,535841,181031,TQ358810,9/1/1991 12:00:00 AM,,13,33,11,"Limehouse",0.3,"Greater London","Tower Hamlets"
E1 0JW,Yes,51.511784,-0.044937,535766,181018,TQ357810,1/1/1980 12:00:00 AM,,14,77,19,"Limehouse",0.4,"Greater London","Tower Hamlets"
E1 0LB,Yes,51.513459,-0.049362,535454,181196,TQ354811,1/1/1980 12:00:00 AM,,13,8,5,"Shadwell",0.6,"Greater London","Tower Hamlets"
E1 0LD,Yes,51.512928,-0.046127,535680,181143,TQ356811,6/1/1981 12:00:00 AM,,15,40,16,"Limehouse",0.4,"Greater London","Tower Hamlets"
E1 0LE,Yes,51.512934,-0.045363,535733,181145,TQ357811,6/1/1981 12:00:00 AM,,17,43,15,"Limehouse",0.4,"Greater London","Tower Hamlets"
E1 0LF,No,51.513532,-0.051578,535300,181200,TQ353812,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,12,,,"Shadwell",0.4,"Greater London","Tower Hamlets"
E1 0LG,No,51.51344,-0.049291,535459,181194,TQ354811,1/1/1980 12:00:00 AM,6/1/2018 12:00:00 AM,13,,,"Shadwell",0.6,"Greater London","Tower Hamlets"
